speech_id,keywords,speech_giver,year,topic_label
term17-year4-session029-3,"milenyetçi, laik, devlet, güvenlik soruşturması, holding, işçi, kürsü, iddia, Mustafa Kemal, devrim",Mehmet Üner,4,
term17-year4-session016-1,"Kadir Narin, Diyarbakır, SHP, alkışlar, TBMM, konuşma, politika (konuşmanın içeriğine dayanarak çıkarılan), Kürtler, Doğu Anadolu, demokrasi (ima edilen)",Kadir Nar,4,
term17-year4-session016-2,"Vural Arikan, İzmir, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Sorumluluk, Gelecek. 

(Not: ""TBMM"" ve ""Parlamento"" gibi genel terimler yerine",Vural Arıkan,4,
term17-year4-session016-3,"GAP Projesi, Türk halkı, Devlet Bakanı Kazım Oksay, Bolu, sahip çıkma",Mahmud Altunakar,4,
term17-year4-session020-1,"Salim Erel, Konya, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Sorumluluk, Gelecek. 

(Not: ""TBMM"" ve ""Parlamento"" gibi genel terimler yerine",Salim Erel,4,
term17-year4-session020-2,"Yüce Meclis, SHP, alkışlar, gerçek, politika (konu), demokrasi (olay/yer), temsil (konsept), katılım (konsept), özgürlük (konsept), adalet (konsept)",Hilmi Nalbantöğlu,4,
term17-year4-session020-3,"Savcı, Militan, Cumhuriyet, Malatya, SEM, Cumhuriyet Savcısı, Politika (implikili), Hukuk (implikili), Adalet (implikili), Güvenlik (implikili)",Şevki Taştan,4,
term17-year4-session018-1,"Rüştü Şardağ, İzmir, alkış, DPR, Bağımsızlar, Meclis, siyasi görüş, konuşma, tartışma, demokrasi",Rüştü Şardağ,4,
term17-year4-session018-2,"Zonguldak, SA VARDAİL, konuşma, Cumhur, demokrasi, katılım, ifade, özgürlük, temsil, vatandaş",Salih Alcan,4,
term17-year4-session018-3,"Paşa Sarıoğlu, Gündem Dışı Konuşma, SHP, Alkışlar, Ağrı, Meclis, Türkiye, Siyaset, Vatandaş, Demokrasi",Paşa Sarıoğlu,4,
term17-year4-session097-1,"Enver Özcan, Tokat, Meclis, Konuşma, Söz, Politika, Toplantı, Temsilci, Vatandaş, Sorumluluk",Enver Özcan,4,
term17-year4-session097-2,"Adıyaman, Ahmet Sirri Özbek, milletvekili, konuşma, demokrasi, katılım, ifade özgürlüğü, toplum, diyalog, çözüm, gelecek.",Ahmet Sırrı Özbek,4,
term17-year4-session097-3,"şikayet, haksızlık, son verme, saygı, alkış, dilek, Meclis, vatandaş, temsilci, umut",Türkân Turgut Arıkan,4,
term17-year4-session013-1,"Ağrı, PAŞA SARIOĞLU, milletvekili, konuşma, yerel, ekonomik, kalkınma, altyapı, yatırım, sorunlar, gelecek",Paşa Sarıoğlu,4,
term17-year4-session013-2,"Rum, Ağrı, Sarıoğlu, Meclis, Konuşma, Politika (konu), AB (yer/kurum), Avrupa (yer), Haklar (konu), Vatandaş (kişi) 


**Açık",Ruşan Iş,4,
term17-year4-session013-3,"İzmir, Vural Arikan, Meclis, Anayasal Haklar, Demokrasi, Vatandaş Katılımı, Siyasi Katılım, Özgürlük, Hak Savunuculuğu, Konuşma",Vural Arıkan,4,
term17-year4-session014-1,"Arif Toprak, Niğde, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Sosyal Adalet, Kalkınma",Arif Toprak,4,
term17-year4-session014-2,"Sezit Husamettin Konuksever, Edirne, Meclis, AKP, muhalefet, ekonomi, eğitim, sağlık, sosyal politika, vatandaş, demokrasi",Seyit Hüsamettin Konuksever,4,
term17-year4-session014-3,"Samsun, Hasan Altay, Meclis, Anayasa, Demokrasi, Vatandaş, Özgürlük, Hak, Sorumluluk, Gelecek, Katılım",Hasan Altay,4,
term17-year4-session048-1,"Kâmran İnan, Bitlis, Gündem Dışı Konuşma, Alkışlar, TBMM, Milletvekili, Politika (konuşmanın içeriğine dayanarak dolaylı olarak), Tartışma, Halk, Ülke",Kâmran İnan,4,
term17-year4-session059-1,"Arsan Savaş Arpacıoğlu, DSP, Amasya, Meclis, Konuşma, Alkışlar, Süre, Politika (konu), Ekonomi (olay), Türkiye (yer)",Arsan Savaş Arpacıoğlu,4,
term17-year4-session059-2,"konut, sorun, oturanlar, DSP, alçakgönüllülük, saygı, meclis, duygu, politika (konuşmada doğrudan bahsedilmemiş olsa da bağlamdan çıkarılabilir), çözüm",Hilmi Nalbantoğlu,4,
term17-year4-session015-1,"H. Barış Can, Sinop, TBMM, demokrasi, katılım, halk, temsil, gelecek, umut, değişim, sorumluluk.",H. Barış Can,4,
term17-year4-session015-2,"Pompei, Son günler, Özal, Ekonomik politika, Meşrutiyet, SHP, Alkışlar, Meclis, Tarih, Roma",Ömer Necati Cengiz,4,
term17-year4-session012-1,"Bahriye Üçok, Ordu, Meclis, Kadın, Liderlik, Değişim, Gelecek, Eğitim, Gençlik, Güçlendirme",Bahriye Üçok,4,
term17-year4-session012-2,"TÜRKÂN TURGUT ARIKAN, Edirne, Meclis, Anayasa, Demokrasi, Vatandaş, Özgürlük, Haklar, Eğitim, Gelecek, Sorumluluk",Türkân Turgut Arıkan,4,
term17-year4-session088-1,"Mehmet Üner, Kayseri, söz, Meclis, konuşması, politika (konuşmada doğrudan kullanılmasa da bağlamdan çıkarılabilir), temsilci, demokratik süreç, katılım, fikir beyanı.",Mehmet Öner,4,
term17-year4-session088-2,"Kayseri, Mehmet Üner, Kültür ve Turizm Bakanlığı, Genelge, Uygulamalar, Milletvekili, Konuşma, Sorunlar, Destek, Gelişim, Potansiyel",Tevfik Bilal,4,
term17-year4-session088-3,"Ahmet Doğru, Artvin, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Sosyal Adalet, Kalkınma",Ahmet Doğru,4,
term17-year4-session058-1,"halil ibrahim karal, ankara, konuşma, demokrasi, katılım, toplum, gelecek, değişim, umut, sorumluluk",Halil İbrahim Karal,4,
term17-year4-session058-2,"Muhafazakar, Edirne, Milletvekili, Muhittin Yıldırım, Sosyal Güvenlik, Emeklilik, Haklar, Vatandaş, Devlet, Refah",Muhittin Yıldırım,4,
term17-year4-session058-3,"Körfez Savaşı, İslam Konferansı, Avrupa kuruluşları, Ege sorunu, Yunan sorunu, Lozan Antlaşması, İran, Basra, Humeyni, Amerika, Sovyetler, Türkiye, İrangate",Erol Ağagil,4,
term17-year4-session056-1,"Hilmi Nalbandoğlu, Erzurum, Meclis, Konuşma, Vaktinde, Bitirme, Parlamento, Politikacılar, Vatandaşlar, Demokrasi",Hilmi Nalbantıoğlu,4,
term17-year4-session032-1,"Kars, Ömer Kuşhan, SHP, alkışlar, TBMM, beş dakika, politika (konu), zaman sınırlaması, konuşmacı (kişi)",Ömer Kuşhan,4,
term17-year4-session032-2,"Kars, Ömer Kuşhan, SHP, alkışlar, TBMM, beş dakika, politika (konu), zaman sınırlaması, konuşmacı (kişi)",Ömer Necati Cengiz,4,
term17-year4-session032-3,"Türkiye, Sakarya, Milletvekili, Turgut Sözer, Demokrasi, Vatandaş, Katılım, Özgürlük, Hak, Gelecek, Umut",Turgut Sözer,4,
term17-year4-session086-1,"H. Barış Can, Sinop, TBMM, demokrasi, katılım, halk, temsil, gelecek, umut, değişim, sorumluluk.",H. Barış Can,4,
term17-year4-session086-2,"ısı, Ismet Kaya Erdem, cevap, Meclis, kamuoyu, tartışma, politika, çevre, sürdürülebilirlik, enerji, gelecek. 


**Açıklama:**

Konuşma, Ismet Kaya Erdem",İsmail Saruhan,4,
term17-year4-session086-3,"talan, devlet, varlık, iktidar, ANAP, rejim, tehlike, demokratikleşme, toplumsal barış, kalkınma",M. Turan Bayezit,4,
term17-year4-session034-1,"Rüştü Şardağ, İsmail Şengün, Meclis, Denizli, Politika, İletişim, Açıklama, Tartışma, Konuşma, Soru",Rüştü Şardağ,4,
term17-year4-session034-2,"Kadın, Atatürk, Cumhuriyet, Kahramanlar, Cemiyetler, Toplantılar, Kızılay, Savaş, Medalya, Haklar",F. Rezan Şahinkaya,4,
term17-year4-session034-3,"kültür, eğitim, söz, kırılganlık, memleket, ders, dinleme, gürültü, (ANAP), siyaset (ima edilen)",Cüneyt Canver,4,
term17-year4-session033-1,"Ege, Tütün, Üretici, Destekleme Fiyatı, Çaresizlik, Şikayet, TBMM, Aydemir, İzmir, Piyasa",Hüseyin Aydemir,4,
term17-year4-session033-2,"H. Barış Can, Sinop, TBMM, demokrasi, katılım, halk, temsil, gelecek, umut, değişim, sorumluluk.",H. Barış Can,4,
term17-year4-session080-1,"dilekçe, Hatay, Sayın Bilal, TBMM, temişler",Tevfik Bilal,4,
term17-year4-session080-2,"reticilik, zararlar, gündem dışı söz, Bilal, dilekçe, Hatay, Meclis (ima ediliyorsa), hükümet (ima ediliyorsa), vatandaş (ima ediliyorsa), ad",Reşit Ülker,4,
term17-year4-session080-3,"İzmir, Özdemir Pehlivanoğlu, Meclis, politika, tartışma, numara, yalan, güven, temsil, vatandaş, demokrasi",Durcan Emirbayer,4,
term17-year4-session076-1,"Oksay, Devlet Bakanı, Bolu, Meclis, Kaza, Güvenlik, Toplum, Sağlık, Çözüm, Destek. 


**Açıklama:**

Konuşma, Bolu'dan bir devlet bakanı olan",Okşay,4,
term17-year4-session076-2,"esler, tarihî kültür miras, 2863 sayılı Kanun, izin, yıktırma, cezai müeyyide, uygulama, belediye, bakan, Kahramanmaraş",M. Nuri Üzel,4,
term17-year4-session076-3,"Muhittin Yıldırım, Edirne, Konuşma, İkibüçük, Sayın, Parlamento, Politik, Vatandaş, Demokrasi, Temsil",Muhittin Yıldırım,4,
term17-year4-session071-1,"Devlet Bakanı, Abdullahi Tenekeci, Konya, cevap, konuşma, politika (bu kelimeyi hariç tutarak), ekonomi (konuşmanın içeriğine göre olası), toplum, gelecek, katılım, demokrasi, çözüm. 

(Not",,4,
term17-year4-session071-2,"Dullahı Tenekeçi, Konya, Söz, Meclis, Konuşma, Politika (doğrudan bahsedilmemiş ancak bağlamdan anlaşılıyor), Demokrasi, Temsil, Vatandaş, Katılım, İrade",Durcan Emirbayer,4,
term17-year4-session071-3,"Trabzon, DSP, Osman Bahadır, Konuşma, Alkış, Siyaset, Milletvekili, Parti, Halk, Temsil",Osman Bahadur,4,
term17-year4-session071-4,"eneğeçi, Konya, söz, meclis, ifade özgürlüğü, demokratik katılım, kamuoyu, tartışma, politika oluşturma, vatandaş katılımı",Enver Özcan,4,
term17-year4-session070-1,"Tunceli, Musa Ateş, milletvekili, demokrasi, katılım, ifade özgürlüğü, soru, cevap, kamuoyu, gelecek, umut.",Musa Ateş,4,
term17-year4-session070-2,"YUSUF DEMİR, Uşak, Meclis, Vatandaş, Katılım, Demokrasi, Sorun, Çözüm, Gelecek, Umut",Yusuf Demir,4,
term17-year4-session070-3,"Dersim, Diyab (Ağa), Yıldırım, Meclis, Adana, Zamir Damar Arıkoğlu, Kitap, Kürsü, Celal Bayar, Yasin Haşimoğlu",Mahmud Altunakar,4,
term17-year4-session077-1,"Erzincan, Malatya, Milletvekili, Ayhan Fırat, Partizanca, İşlemler, Gündem Dışı, SHP, Alkışlar, TBMM",Ayhan Fırat,4,
term17-year4-session077-2,"Malatya, Milletvekili, Ayhan Fırat, Partizanca, İşlemler, SHP, Alkışlar, Sayın, Meclis (konuşmanın bağlamından çıkarılan anahtar kelimeler)",Bahriye Üçok,4,
term17-year4-session077-3,"Erzincan, Malatya, Ayhan Fırat, Partizanca, İşlemler, Gündem Dışı, Milletvekili, SHP, Alkışlar, Konuşma",Günseli Özkaya,4,
term17-year4-session079-1,"Rüşti Şardağ, İzmir, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Sorumluluk, Gelecek. 

(Not: ""TBMM"" ve ""Parlamento"" gibi genel terimler",Rüştü Şardağ,4,
term17-year4-session079-2,"H. Barış Can, Sinop, TBMM, demokrasi, katılım, halk, temsil, gelecek, umut, değişim, sorumluluk.",H. Barış Can,4,
term17-year4-session079-3,"Humeyni, Papandreu, İran, Türkiye, ABD, Başbakan, dış politika, teslimiyet, muhalefet, belgeler",Ali Rıdvan Yıldırım,4,
term17-year4-session025-1,"Hilmi Nalbandoğlu, Erzurum, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Sorumluluk, Gelecek. 

(Not: ""TBMM"" ve ""Parlamento"" gibi genel terimler",H,4,
term17-year4-session024-1,"Bahriye Üçok, Ordu, Meclis, Kadın, Liderlik, Değişim, Gelecek, Eğitim, Gençlik, Güçlendirme",Bahriye Üçok,4,
term17-year4-session090-1,"Cumhurbaşkanı, Demokrasi, Liderlik, Gelecek, Ülke, Vatandaş, Değerler, Vizyon, Değişim, Umut",Cüneyt Canver,4,
term17-year4-session090-2,"Durcan Emirbayer, konuşma, TBMM, demokrasi, katılım, gelecek, gençlik, eğitim, fırsat, değişim, umut.",Durcan Emirbayer,4,
term17-year4-session004-1,"İkaz, Uyum, Ankara, Meclis, İletişim, Karar, Değişim, Sorumluluk, Vatandaş, Güven",Hazım Kutay,4,
term17-year4-session023-1,"TÜRKÂN TURGÜT ARIKAN, Edirne, Meclis, Anayasa, Demokrasi, Haklar, Vatandaş, Özgürlük, Sorumluluk, Gelecek.",Türkân Turgut Arıkan,4,
term17-year4-session023-2,"Hilmi Nalbandoğlu, Erzurum, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Sorumluluk, Gelecek. 

(Not: ""TBMM"" ve ""Parlamento"" gibi genel terimler",Hilmi Naltantoğlu,4,
term17-year4-session062-1,"Devlet Bakanı, Hasan Celal Güzel, Gaziantep, Gündem Dışı, Söz, Bakan, Meclis, Konuşma, Politik, Toplantı, Vatandaş",Güzel,4,
term17-year4-session062-2,"Devlet Bakanı, Hasan Celal Güzel, Gaziantep, Gündem Dışı, Konuşma, Bakan, Meclis, Sunum, Politika (konuşmada yer almamasına rağmen bağlamdan çıkarılabilir), Vatandaş, Katılım",Şükrü Babacan,4,
term17-year4-session062-3,"Devlet Bakanı, Hasan Celal Güzel, Gaziantep, Gündem Dışı, Konuşma, Bakan, Meclis, Siyaset, Toplantı, Katılım, Sunum",İsa Vardal,4,
term17-year4-session062-4,"Kalp ameliyatı, Houston, Amerika Birleşik Devletleri, Başbakan, Meclis, Yurda dönüş, Bakım, ANAP, Alkışlar.",Mehmet Üner,4,
term17-year4-session065-1,"Yusuf Demir, Uşak, SHP, alkış, Meclis, konuşma, politika, demokratik süreç, temsil, vatandaş",Yusuf Demir,4,
term17-year4-session065-2,"Musa Ateş, Tunceli, TBMM, konuşmacı, sosyalizm, sol, demokrasi, muhalefet, alkışlar, siyasi görüş",Musa Ateş,4,
term17-year4-session065-3,"Yusuf Demir, Uşak, ŞHP, alkış, politika, demokrasi, temsil, konuşma, meclis, fikir",Vecfihi Atakİ,4,
term17-year4-session064-1,"Karaevli, Tekirdağ, Ahmet Karaevli, Devlet Bakanı, TBMM, alkışlar, politikacılar, hükümet, bölge, vatandaşlar.",Karaevl,4,
term17-year4-session064-2,"Paşa Sarıoğlu, Ağrı, SHP, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Temsil",Paşa Sarıoğlu,4,
term17-year4-session064-3,"Maden mühendisi, eğitim, İLO (Uluslararası Çalışma Örgütü), Almanya, İngiltere, Türkiye, Çalışma ve Sosyal Güvenlik Bakanlığı, vilayet, iş güvenliği, proje, 1986",Ali Mazhar Haznedar,4,
term17-year4-session064-4,"Adana, Coşkun Bayram, Meclis, Vatandaş, Demokrasi, Katılım, Gelecek, Umut, Değişim, Sorunlar. 


**Açıklama:**

Konuşma, Adana milletvekili Coşkun",Coşkun Bayram,4,
term17-year4-session107-1,"Kars, Ömer Kuşhan, milletvekili, demokrasi, katılım, halk, temsil, gelecek, umut, konuşma, ülke.",Ömer Kuşhan,4,
term17-year4-session107-2,"Doğu Anadolu, Göç, Süt üretimi, Hayvansal ürünler, İstatistik, Sığır, Koyun, Keçi, Manda, İnek",Bahriye Üçok,4,
term17-year4-session107-3,"hayvancılık, sıkıntı, çare, gündem, seçmen, Tokat, metin gürdere",Kâmil T. Coşkunoğlu,4,
term17-year4-session100-1,"Ömer Necati Cengiz, İstanbul, Meclis, yasa, demokrasi, katılım, temsil, gelecek, umut, vatandaş.",Ömer Necati Cengiz,4,
term17-year4-session100-2,"Cengiz, İstanbul, SHP, Meclis, alkışlar, politika (konu), tartışma (olay), parlamenter (kişi), temsilci (kişi), demokratik (yer)",Rusat İş,4,
term17-year4-session085-1,"Vakıflar Bankası, Al Baraka, Faysal Finans, mevduat, toplama, TBMM, Edirne, Türkân Turgut Arıkan, siyasi parti (SHP, DYP)",Türkânı Turgut Arıkan,4,
term17-year4-session085-2,"Al Baraka, Faysal Finans, Mevduat, Banka, Edirne, Türkân Turgut Arıkan, SHP, DYP, Alkış",Bahriye Üçok,4,
term17-year4-session031-1,"Ali Rivan Yıldırım, Tunceli, Meclis, yasa, demokrasi, katılım, halk, gelecek, umut, değişim.",Ali Rıdvan Yıldırım,4,
term17-year4-session031-2,"İdvan Yıldırım, Tunceli, Meclis, yasa, demokrasi, katılım, halk, gelecek, umut, değişim, temsil",İdris Gürpınar,4,
term17-year4-session101-1,"aldığı, önergesi, 4/331, karar, yasa, tartışma, milletvekili, kamuoyu, demokrasi, temsil",Ali Rıdvan Yıldırım,4,
term17-year4-session101-2,"Arıkan, sözlü soru, önergesi, Türkiye Büyük Millet Meclisi, geri alma, 4/331, 6/1045-6/1049, politika (kapsam dışında",Günseli Özkaya,4,
term17-year4-session101-3,"Edirne, Türkân Turgut Arıkan, Meclis, sözlü soru, tezkere, öneri, TBMM, milletvekili, politika, Türkiye.",Türkân Turgut Arıkan,4,
term17-year4-session030-1,"Bahriye Üçok, Ordu, TBMM, kadın milletvekili, demokrasi, katılım, ifade özgürlüğü, soru, cevap, kamuoyu, gelecek. 

(Not: ""Meclis"", ""Parlamento"" ve ""Politika",Bahriye Üçok,4,
term17-year4-session030-2,"mumi, Bahriliye Üç, durum, bilgi, dinleme, teşekkür, saygı, SHP, alkışlar.",Mustafa Murat Sökmenoğlu,4,
term17-year4-session030-3,"Hırlıye Üçok, bilgi, teşekkür, saygı, SHP, alkış, durum, dinleme, konuşma, TBMM",Hilmi Nalbantoğlu,4,
term17-year4-session083-1,"Hilmi Nalbantoğlu, Erzurum, Meclis, Hükümet, Siyaset, Reform, Ekonomik Büyüme, Sosyal Adalet, Vatandaş, Gelecek",Hilmi Nalbantöğlu,4,
term18-year1-session043-2,"Bulgaristan, Türk Çocukları, Aileler, Viyana, Toplantı, Avrupa Parlamenterleri, Doğu Blok, Kıbrıs, Kuzey Kıbrıs Türk Cumhuriyeti, Çözüm",Mustafa Murat Sökmenoğlu,1,
term18-year3-session013-2,"seçimler, vekalet, ANAP, Sosyaldemokrat Halkçı Parti, erken seçim, Meclis, seçmenler, 27 Kasım 1987, 26 Mart 1989, genel kurul, Cumhur",Mehmet Çakıroğlu,3,
term18-year3-session013-3,"vatandaş, Adana, Bafra, Karadeniz Bölgesi, fukaralaştırma, kefen, çay, borç, özel sektör, mahkeme",Abdülkadir Cenkçiler,3,
term18-year3-session011-1,"Kütahya, Mehmet Kormaz, milletvekili, demokrasi, katılım, ifade özgürlüğü, tartışma, karar alma, toplum, gelecek, umut.",Mehmet Korkmaz,3,
term18-year3-session011-2,"Ali Haydar Erdoğan, İstanbul, Meclis, Anayasa, Demokrasi, Vatandaş, Özgürlük, Hak, Gelecek, Sorumluluk, Katılım",Ali Haydar Erdoğan,3,
term18-year3-session011-3,"ahibi, Meclis, ümid, alkış, DYP, saygı, politika (konuşma bağlamında dolaylı olarak), demokratik süreç, temsil, vatandaş",Ahmet Neidim,3,
term18-year4-session098-1,"İstemihan Talay, İçel, Meclis, Hükümet, Ekonomik Büyüme, Sosyal Kalkınma, Kamu Yatırımları, Yerel Yönetim, Vatandaş, Gelecek Planlama",M. İstemihan Talay,4,
term18-year4-session098-2,"İstemihan Talay, İçel, Meclis, Hükümet, Ekonomik Büyüme, Sosyal Kalkınma, Kamu Yatırımları, Yerel Yönetim, Vatandaş, Gelecek Planlama",M. Cevdet Selvi,4,
term18-year4-session007-1,"Ayaklanma, İstanbul, AYKUT, Meclis, Başkan, Demokrasi, Haklar, Vatandaş, Özgürlük, Gelecek. 

(Not: Konuşmanın kısa bir alıntı olduğu için belirlenen anahtar kelimeler",Aykut,4,
term18-year4-session007-2,"hukuki hata, kurtarma, Yüce Meclis, üye, saygı, alkış, SHP, adalet, sorumluluk, bilinçlendirme",Hasan Zeng,4,
term18-year4-session007-3,"kenan süzer, Tokat, TBMM, demokrasi, katılım, ifade özgürlüğü, soru önergesi, kamuoyu, vatandaş, şeffaflık",Kenan Süzer,4,
term18-year4-session009-1,"Baytaz Temir, Hakları, Dava Dosyaları, Başbakanlık Tezkereleri, Adalet Komisyonu, Osman Devleti, 20. Kuruluş Günü, Türkiye Büyük Millet Meclisi, Parlamento Heyeti.",Bakı Durmaz,4,
term18-year4-session009-2,"fındık, fiyat, üretici, sağlık, hastane, personel, Danıştay, Meclis araştırması, Trabzon, Samsun",Enis Tütüncü,4,
term18-year4-session084-1,"Arifiye, Sincan, Demiryolu, İnşaat, Meclis Araştırması, Veli Aksoy, İzmir, Oylama, Karar, Birleşme",Tevfik Ertûzûn,4,
term18-year4-session084-2,"Hakkâri, TBMM, Cumhur Keskin, SHP, gürültüler, konu, politika (konu dışında belirtildiği için dahil edilmedi), temsilci, demokratik süreç, konuşma",Cumhur Kesk,4,
term18-year4-session084-3,"Avrupa Şampiyon Kulüpler Kupası, çeyrek final, rövanş maçı, Devlet Bakanı, yazılı soru önergesi.",İbrahim Demir,4,
term18-year4-session008-1,"Erol Ağagil, Ankara, SHP, alkışlar, söz, Meclis, teklif, tartışma, katılım, demokratik süreç.",Erol Ağagil,4,
term18-year4-session008-2,"Savunma ve Ekonomik İşbirliği Anlaşması, Birleşik Devletler, Türkiye, 1980, 1985, 1990, anlaşma uzatma, otomatik uzama, Genel Kurul, ihbar",Birgen Keleş,4,
term18-year4-session008-3,"Ali Bozer, İçel, Meclis, Anayasa, Demokrasi, Vatandaş, Haklar, Özgürlük, Sorumluluk, Gelecek. 

(Not: ""TBMM"" ve ""Parlamento"" gibi genel terimler yerine",Ali Eser,4,
term18-year4-session097-1,"Sinop, Özer Gürbüz, Meclis, Tartışma, Reform, Eğitim, Gelecek, Vatandaş, Demokrasi, Değişim",Özer Gürbüz,4,
term18-year4-session097-2,"çevre, sürdürülebilirlik, iklim değişikliği, enerji, yenilenebilir kaynaklar, yeşil ekonomi, politika oluşturma, kamuoyu, bilinçlendirme, gelecek nesiller.",Süleyman Çelebi,4,
term18-year4-session099-1,"Ertüzün, Zonguldak, DSP, konuşma, alkışlar, politika, muhalefet, milletvekili, parti, söz",Tevfik Ertüz,4,
term18-year4-session006-1,"Kahveci, Maliye ve Gümrük Bakanı, Adnan, İstanbul, Meclis, Bütçe, Ekonomik Politika, Vergi, Gümrük, Reform, Destek",Kahveci,4,
